collection_object_id,guid,species,country,state,locality,lat,lon,elevation,life_stage,examined_for,detected,not_detected,presence
33465997,UNCG:Mamm:1635,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 3.84 km SE Albert Mountain, along FR 421-2",35.03875097,-83.451915,979.228271,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466517,UNCG:Mamm:1615,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03947701,-83.45190897,1021.021179,juvenile,ectoparasite,ectoparasite,endoparasite,1
33466503,UNCG:Mamm:1621,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03867604,-83.45190201,981.302734,juvenile,ectoparasite,ectoparasite,endoparasite,1
33466366,UNCG:Mamm:1617,Peromyscus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03842399,-83.45189396,984.227051,juvenile,ectoparasite,ectoparasite,endoparasite,1
33466630,UNCG:Mamm:1536,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03876497,-83.45187603,969.756409,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466656,UNCG:Mamm:1549,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03845702,-83.45186496,988.826965,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466510,UNCG:Mamm:1614,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03827396,-83.45186404,975.664124,juvenile,ectoparasite,ectoparasite,endoparasite,1
33465844,UNCG:Mamm:1663,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03876698,-83.45185298,944.260254,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33704122,UNCG:Mamm:2233,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03880302,-83.45182003,985.321533,subadult,ectoparasite,,ectoparasite; endoparasite,1
33466574,UNCG:Mamm:1591,Napeozapus insignis,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03849398,-83.45181601,987.041992,adult,,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
33466705,UNCG:Mamm:1624,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 3.84 km SE Albert Mountain, along FR 421-2",35.03849398,-83.45181601,987.041992,juvenile,ectoparasite,ectoparasite,endoparasite,1
